week,forlegend,Ens_Size,WP_week_1,WP_week_2,WP_week_3,WP_week_4,WP_week_5,WP_week_6,WP_week_7,WP_week_8,,week,NA_week_1,NA_week_2,NA_week_3,NA_week_4,NA_week_5,NA_week_6,NA_week_7,NA_week_8,,week,SH_week_1,SH_week_2,SH_week_3,SH_week_4,SH_week_5,SH_week_6,SH_week_7,SH_week_8,,week,NIO_week_1,NIO_week_2,NIO_week_3,NIO_week_4,NIO_week_5,NIO_week_6,NIO_week_7,NIO_week_8,,week,EP_week_1,EP_week_2,EP_week_3,EP_week_4,EP_week_5,EP_week_6,EP_week_7,EP_week_8
WP_11,2,1,-0.340471739,-0.621198805,-0.958071283,-1.098434816,-0.979125813,-0.98614399,-1.119489346,-1.266871056,,NA_11,-0.553064553,-0.643359004,-0.878124576,-0.896183466,-1.040654587,-0.959389582,-0.869095131,-1.013566252,,SH_11,-0.586177366,-1.005746863,-0.852245828,-0.913646242,-0.964813254,-0.86247923,-0.842012426,-1.07738068,,NIO_11,-0.58183131,-0.916965062,-1.010802513,-1.064423913,-0.930370412,-0.890154362,-0.769506211,-0.876749012,,EP_11,-0.501348263,-0.665107106,-0.760009584,-1.053344514,-0.958442037,-1.044717016,-0.863539559,-0.837657065
WP_12,2,2,-0.086062835,-0.300117223,-0.668571497,-0.782616867,-0.615935172,-0.756298705,-0.828235015,-0.758053249,,NA_12,-0.356674123,-0.406336071,-0.47631427,-0.523718857,-0.519204134,-0.498887883,-0.566608721,-0.620785391,,SH_12,-0.217774881,-0.583619016,-0.47105159,-0.501751797,-0.448026434,-0.537568705,-0.555477159,-0.591294068,,NIO_12,-0.397507746,-0.585182647,-0.632101373,-0.55502061,-0.481291184,-0.591885322,-0.441075134,-0.377399721,,EP_12,-0.315788365,-0.4796159,-0.600400871,-0.757852709,-0.6909896,-0.686675851,-0.550792758,-0.652165859
WP_13,2,3,-0.00048007,-0.196209219,-0.494871625,-0.646152321,-0.568952378,-0.708536114,-0.724132062,-0.703857329,,NA13,-0.271145212,-0.256096137,-0.304253178,-0.376488738,-0.356423305,-0.370469108,-0.440698126,-0.412606519,,SH_13,-0.127948349,-0.459965404,-0.401976124,-0.465650627,-0.419031794,-0.499761969,-0.448594957,-0.448594957,,NIO_13,-0.301808441,-0.443309359,-0.513315076,-0.367345709,-0.365856225,-0.462672642,-0.307766375,-0.276487225,,EP_13,-0.222071245,-0.380399674,-0.501184645,-0.605673231,-0.567328796,-0.561577131,-0.478177984,-0.490639925
WP_14,2,4,0.060441602,-0.171596863,-0.443112572,-0.585230649,-0.570317024,-0.674273765,-0.621637441,-0.674712401,,NA_14,-0.250013803,-0.24493474,-0.217846405,-0.269765714,-0.287824604,-0.314912939,-0.348209018,-0.319992002,,SH_14,-0.105847043,-0.378950969,-0.398138598,-0.421163753,-0.373834267,-0.421163753,-0.382148907,-0.390463546,,NIO_14,-0.212346348,-0.411750931,-0.397507746,-0.276021761,-0.286075774,-0.33131883,-0.257589405,-0.228265201,,EP_14,-0.150787661,-0.326477811,-0.494714021,-0.547018228,-0.521674953,-0.470988402,-0.40520373,-0.384174204
WP_21,2,5,0.082583949,-0.139751887,-0.391564065,-0.515364701,-0.520698515,-0.659096958,-0.566457027,-0.625128983,,NA_21,-0.250036376,-0.204166795,-0.150712481,-0.241729287,-0.238117509,-0.287598868,-0.318298981,-0.268456444,,SH_21,-0.082284634,-0.406888157,-0.383146664,-0.422442929,-0.332388988,-0.388468033,-0.37618795,-0.411390854,,NIO_21,-0.187177803,-0.396837479,-0.36091114,-0.222567928,-0.28584118,-0.260102908,-0.21881443,-0.180207021,,EP_21,-0.114708913,-0.299301193,-0.48151395,-0.530863238,-0.477027651,-0.425607763,-0.376603574,-0.361074078
WP_22,2,6,0.075355227,-0.094640607,-0.371858584,-0.519240294,-0.51436656,-0.620613956,-0.563298847,-0.576165504,,NA_22,-0.231014345,-0.163293507,-0.117644646,-0.197404744,-0.19188675,-0.280174657,-0.295223733,-0.267633762,,SH_22,-0.050629309,-0.383499147,-0.353083201,-0.396006639,-0.35990547,-0.383214886,-0.373265745,-0.404818736,,NIO_22,-0.158818041,-0.400859084,-0.3100006,-0.230685612,-0.244463333,-0.203874912,-0.202013057,-0.148019286,,EP_22,-0.076106831,-0.29556261,-0.438155979,-0.510531101,-0.453733406,-0.38183759,-0.333188087,-0.33606392
WP_23,2,7,0.10768897,-0.060174357,-0.35465132,-0.49300966,-0.529962508,-0.587540202,-0.559610724,-0.577084551,,NA_23,-0.217316616,-0.179171817,-0.108963275,-0.103619318,-0.147292348,-0.224134768,-0.212709756,-0.224871866,,SH_23,-0.051116614,-0.376079351,-0.348720663,-0.424322533,-0.346005678,-0.35790984,-0.387356978,-0.387148133,,NIO_23,-0.154775157,-0.391420623,-0.268583844,-0.203745722,-0.194991207,-0.172284186,-0.160246729,-0.106898907,,EP_23,-0.084957361,-0.288666481,-0.443257159,-0.512805356,-0.412796809,-0.338494683,-0.300463264,-0.293068266
WP_24,2,8,0.125579054,-0.052068542,-0.340581398,-0.49870969,-0.534677846,-0.57744486,-0.570426683,-0.55858351,,NA_24,-0.202468131,-0.180741029,-0.10328532,-0.07549156,-0.132207762,-0.204584407,-0.185961177,-0.190616984,,SH_24,-0.05835766,-0.343613751,-0.300921276,-0.416047052,-0.38406767,-0.333380349,-0.389664062,-0.390143752,,NIO_24,-0.120394025,-0.384730772,-0.239785424,-0.181765393,-0.168988419,-0.148670935,-0.136312878,-0.101542751,,EP_24,-0.08107091,-0.270803489,-0.438635285,-0.506307222,-0.399541935,-0.314884611,-0.23898959,-0.261771577
WP_31,2,9,0.127579992,-0.051773411,-0.348096425,-0.501716513,-0.529269355,-0.569645532,-0.555262602,-0.555262602,,NA_31,-0.2070473,-0.181073711,-0.085874376,-0.06357945,-0.114746306,-0.180070439,-0.159336158,-0.167250857,,SH_31,-0.049618603,-0.339312327,-0.301031822,-0.405892611,-0.354851938,-0.342976137,-0.398438651,-0.378603538,,NIO_31,-0.116119518,-0.356091834,-0.221707337,-0.163120992,-0.159976528,-0.124559924,-0.10701712,-0.110492581,,EP_31,-0.0771221,-0.263449146,-0.416294326,-0.504593039,-0.40180865,-0.310847128,-0.235968967,-0.249815569
WP_32,2,10,0.125886099,-0.047603227,-0.350367368,-0.500345803,-0.547297404,-0.564772664,-0.585616649,-0.559789759,,NA_32,-0.194144111,-0.180870827,-0.070711597,-0.065384225,-0.112698517,-0.156762209,-0.156762209,-0.151976603,,SH_32,-0.051277425,-0.320518241,-0.292888055,-0.383453666,-0.365852214,-0.351832452,-0.377108956,-0.387444692,,NIO_32,-0.091731711,-0.36359221,-0.183692412,-0.156613605,-0.144280683,-0.122832123,-0.110365147,-0.103528419,,EP_32,-0.072030136,-0.254093103,-0.405246868,-0.498337571,-0.397482119,-0.291881544,-0.225708635,-0.233214558
WP_33,2,11,0.125801997,-0.041822222,-0.340645743,-0.501947803,-0.536342669,-0.552061064,-0.589530007,-0.562907337,,NA_33,-0.191513633,-0.171813025,-0.060997108,-0.057116686,-0.096144783,-0.16681325,-0.143978455,-0.125919565,,SH_33,-0.04448363,-0.317064256,-0.318417433,-0.389290088,-0.347341596,-0.366962665,-0.390135824,-0.391066133,,NIO_33,-0.080183168,-0.340535008,-0.166597821,-0.14599125,-0.116300062,-0.11641085,-0.105442836,-0.103337863,,EP_33,-0.069513715,-0.241147578,-0.399651115,-0.480079361,-0.39287746,-0.295622028,-0.217404134,-0.220470104
WP_34,2,12,0.140029675,-0.041711858,-0.330285635,-0.487219863,-0.5436577,-0.537516796,-0.592784937,-0.559253648,,NA_34,-0.188124481,-0.150627202,-0.055504507,-0.049610286,-0.089302221,-0.135139196,-0.121281506,-0.119024145,,SH_34,-0.036984773,-0.319398252,-0.323164713,-0.375895161,-0.340220383,-0.354646638,-0.399346708,-0.390676742,,NIO_34,-0.06395657,-0.340721194,-0.167848033,-0.157235465,-0.124001367,-0.104265713,-0.10622066,-0.110130554,,EP_34,-0.055313345,-0.225943495,-0.385971599,-0.476320675,-0.380998805,-0.29029025,-0.200660133,-0.215997907
WP_41,2,13,0.144654531,-0.057543706,-0.319458737,-0.47319418,-0.550643289,-0.533077084,-0.587810556,-0.570493516,,NA_41,-0.188146743,-0.144495521,-0.04255362,-0.05099535,-0.08791456,-0.115590611,-0.105920022,-0.115911183,,SH_41,-0.050952257,-0.309088318,-0.337366418,-0.371518127,-0.349053084,-0.373940235,-0.397979647,-0.385990217,,NIO_41,-0.062195521,-0.349101741,-0.166503422,-0.148259454,-0.106298329,-0.099635315,-0.103918681,-0.103125465,,EP_41,-0.049626199,-0.212852642,-0.395663708,-0.479488274,-0.368147605,-0.287283956,-0.187429601,-0.212597391
WP_42,2,14,0.135940711,-0.064542814,-0.322997911,-0.498559748,-0.557927794,-0.528100543,-0.583028517,-0.567094392,,NA_42,-0.179310023,-0.136926913,-0.033226501,-0.046586394,-0.083625546,-0.109654304,-0.100210241,-0.099703487,,SH_42,-0.049080376,-0.303975633,-0.330551152,-0.372633409,-0.351644492,-0.372894465,-0.393831171,-0.378220011,,NIO_42,-0.059091051,-0.338277985,-0.157852916,-0.136445393,-0.107104091,-0.094519476,-0.090210614,-0.09766563,,EP_42,-0.046872827,-0.21203141,-0.393737081,-0.465530189,-0.36657807,-0.282856125,-0.192487486,-0.19750552
WP_43,2,15,0.13458084,-0.053693445,-0.323472155,-0.49165886,-0.555758206,-0.527810267,-0.575471485,-0.569295489,,NA_43,-0.187111177,-0.136706808,-0.030881712,-0.046733404,-0.075507236,-0.097619343,-0.081767651,-0.09192076,,SH_43,-0.043033851,-0.292592423,-0.321427877,-0.370957544,-0.349763031,-0.361133478,-0.379735529,-0.380827092,,NIO_43,-0.06140583,-0.321290884,-0.160724579,-0.134569252,-0.10966509,-0.089646434,-0.0819607,-0.08285439,,EP_43,-0.045920546,-0.201906327,-0.393551815,-0.46145981,-0.362722889,-0.270121077,-0.186875308,-0.199375594
WP_44,2,16,0.135887001,-0.043350651,-0.324763086,-0.494076597,-0.565382368,-0.524589217,-0.581392584,-0.571358784,,NA_44,-0.184973581,-0.129738773,-0.036093551,-0.043994316,-0.067661338,-0.09245704,-0.061876849,-0.086778366,,SH_44,-0.040729026,-0.281933517,-0.312673699,-0.371076046,-0.344253339,-0.363041226,-0.39542035,-0.386865866,,NIO_44,-0.062112171,-0.318751314,-0.15312193,-0.132228436,-0.095520817,-0.077926295,-0.086147545,-0.070019233,,EP_44,-0.045981902,-0.200132148,-0.390476322,-0.462327203,-0.352865823,-0.268714016,-0.169632594,-0.190459914
